topic,problem_statement,solution,answer_option_1,answer_option_2,answer_option_3,answer_option_4,answer_option_5,correct_option_number
Optimization of actions and planning,"You have a list of tasks to complete: A, B, C, D, and E. Task A takes 1 hour, B takes 3 hours, C takes 2 hours, D takes 4 hours, and E takes 5 hours. You have two workers at your disposal. Each of the workers can only handle one task at a time, but tasks can be done in parallel. What is the minimum number of hours required to finish all tasks if the workers can work simultaneously and start at the same time?","To minimize the time to complete all tasks, you should assign the longest tasks to different workers. Assign task E (5 hours) to worker 1 and task D (4 hours) to worker 2. After worker 2 finishes task D, assign them task B (3 hours). Meanwhile, worker 1 is still working on task E. Once worker 1 finishes task E, they can move on to tasks A (1 hour) and C (2 hours) successively. The optimal timeline will be: Worker 1 does E (5 hours), then A (1 hour), and then C (2 hours), while Worker 2 does D (4 hours) and then B (3 hours). This results in a total of 7 hours to complete all tasks, since tasks A and C will be completed in the extra time worker 2 uses to finish task B after finishing D.",7 hours,8 hours,9 hours,10 hours,Another answer,2
Probability and statistics,"In a class of 30 students, 17 play basketball, 13 swim, and 5 do both. If a student is chosen at random, what is the probability that either he/she swims or plays basketball?","To find the probability that a student swims or plays basketball, we use the principle of inclusion and exclusion. Number of students playing either basketball or swimming = Number of basketball players + Number of swimmers - Number of students who do both. So, 17 (basketball) + 13 (swimming) - 5 (both) = 25 students. The probability is then 25 out of 30, which simplifies to 5/6.",5/6,12/30,17/30,25/30,Another answer,1
Functions and Algorithms,Assume you have a function F(x) = 2x + 3. What is the value of x that makes F(x) = 17?,"To find the value of x, we can set up the equation: 2x + 3 = 17. Subtract 3 from both sides to get 2x = 14. Divide both sides by 2 to find x = 7.",5,6,7,8,Another answer,3
Math problems,Imagine that you are creating numbered tickets for a lottery. Each ticket is a unique sequence of 3 digits from 0-9. How many different tickets can you create where at least two digits on the ticket are the same?,"The total number of sequences with 3 digits is 10*10*10 = 1000. However, we have to subtract the number of all-different sequences. There are 10 options for the first digit, but only 9 options for the second (to avoid repeating the first), and 8 for the third. This results in 10*9*8 = 720 all-different sequences. Thus, the number of sequences where at least two digits are the same is 1000 - 720 = 280.",270,280,290,300,Another answer,2
Math problems,"In a math competition, each competitor is given five problems to solve. Each problem is scored from 0 to 3 points, inclusively, depending on the accuracy and completeness of the solution. If all contestants received different total scores, what is the maximum number of competitors in the contest, assuming that none of them scored the same on any individual problem?","The maximum score a competitor can achieve is 15 (5 problems x 3 points each). Therefore, the total number of unique scores ranges from 0 to 15, inclusive. There are 16 possible total scores. Since competitors cannot have the same score on any individual problem and have to achieve different total scores, we can calculate the number of competitors by distributing the total scores starting from the maximum possible score. The first competitor can have any score from 0 to 15 making 16 possibilities, but the second competitor must have a different total score, and cannot match any individual score of the-first competitor. Accounting for this, the number of unique sequences in which one can arrange 5 problems scores without repetition is a permutation of 4 (3, 2, 1, 0), which is 4 factorial (4!). Hence, the maximum number of competitors is 4! = 4 x 3 x 2 x 1 = 24.",20,24,16,26,Another answer,3
Spatial reasoning,"You are in a room with four doors, each one leading to a tunnel. The first tunnel takes 4 minutes to traverse, the second takes 2 minutes, the third takes 5 minutes, and the fourth takes 1 minute. At the end of each tunnel is another room exactly like the first, with four doors and identical tunnel times. You must reach a room with a blue door that appears only after going through two consecutive tunnels that take an odd number of minutes to traverse. What is the minimum amount of time needed to reach the room with the blue door?","The blue door appears only after two consecutive tunnels with odd traversal times. So the fastest way to reach the blue door is to take the 5-minute tunnel, then immediately take another 5-minute tunnel. This way, two consecutive odd-minute tunnels are traversed. The minimum time to reach the room with the blue door is therefore 5 + 5 = 10 minutes.",6 minutes,7 minutes,9 minutes,10 minutes,Another answer,4
Math problems,"Imagine you are in a classroom with 30 students including you. The teacher decides to give out pieces of candy based on the following rules: Each girl gets the same number of candies as the number of boys in the class, and each boy gets the same number of candies as the number of girls in the class. By the end, the teacher has given out exactly 370 pieces of candy. How many boys are in the classroom?","Let B represent the number of boys and G represent the number of girls. According to the problem, we can write two equations: 1) G * B = some number of candies, 2) B * G = some number of candies. Adding both, G * B + B * G = 370 candies. Since the product is the same (since it represents the number of candies given to boys and girls), we can simplify it to: 2 * (G * B) = 370, or G * B = 185. B + G = 30, since there are 30 students in the class. We know that 185 is the product of the number of boys and girls, so we look for factors of 185 that will add up to 30. The factors of 185 are 1, 5, 37, and 185. The only pair that adds up to 30 is 11 (boys) and 19 (girls). So, there are 11 boys in the classroom.",11,19,15,10,Another answer,5
Probability and statistics,You have a six-sided standard die with faces numbered from 1 to 6. What is the probability of rolling the die twice and getting a sum of 8? Express your answer as a fraction.,"There are a total of 36 possible outcomes when rolling a six-sided die twice (6 options for the first roll and 6 options for the second roll). The pairs that give a sum of 8 are (2,6), (3,5), (4,4), (5,3), and (6,2). There are 5 favorable outcomes. Therefore, the probability of rolling a sum of 8 is 5/36.",1/12,5/36,1/6,7/36,Another answer,2
Probability and statistics,"You have 2 standard six-sided dice: Die A is fair, but Die B is loaded in such a way that 6 comes up twice as often as any other number. You roll both dice one time. What is the probability of getting a total of 7?","For Die A, each number from 1 to 6 has a probability of 1/6. For Die B, the probability for numbers 1 to 5 is 1/8 each (since 5/8 must be distributed equally among them), and the probability for number 6 is 2/8 or 1/4. To get a total of 7, we need the following pairs: (1,6), (2,5), (3,4), (4,3), (5,2), and (6,1).

The probabilities for Die A and B to get these pairs are:
A(1)*B(6) = 1/6 * 1/4 = 1/24
A(2)*B(5) = 1/6 * 1/8 = 1/48
A(3)*B(4) = 1/6 * 1/8 = 1/48
A(4)*B(3) = 1/6 * 1/8 = 1/48
A(5)*B(2) = 1/6 * 1/8 = 1/48
A(6)*B(1) = 1/6 * 1/8 = 1/48

Adding these together gives us the total probability: 1/24 + 5*(1/48) = 1/24 + 5/48 = 2/48 + 5/48 = 7/48.

So, the probability is 7/48.",7/36,7/48,1/6,1/8,Another answer,3
Classic riddles,"You come to a fork in the road where one path leads to a village of truth-tellers, and the other to a village of liars. You meet a villager at the fork but you don't know if he is from the village of truth-tellers or liars. You need to figure out which path leads to the village of truth-tellers by asking one yes-or-no question. What question can you ask to find the correct path?","Ask the villager: 'If I asked you whether the left path leads to the village of truth-tellers, would you say yes?' If the villager is a truth-teller, he will say yes if the left path is correct and no if it is not. If the villager is a liar, he would lie and say yes if the left path is incorrect and no if it is correct (because he would lie about saying yes). So, regardless of whether the villager is a truth-teller or a liar, he will say yes if and only if the left path leads to the village of truth-tellers.",Should I take the left path to go to the village of truth-tellers?,"If I were to ask the next person I meet which way is the village of truth-tellers, what would they say?",Do liars live in the village to the left?,"If I asked you whether the left path leads to the village of truth-tellers, would you say yes?",Another answer,2
